STN---,WBAN , YEARMODA,   TEMP, TEMP2 ,   DEWP, DEWP2 ,  SLP  , SLP2 ,  STP  , STP2 , VISIB, VISIB2 ,  WDSP,  WDSP2, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
726580,14922, 19910202,   28.2,24,   21.8,24, 1021.9,24,  990.1,24,   9.2,24,   5.2,24,  15.9, 999.9,   46.9*,   8.1 , 0.00G,  5.1, 100000,
726580,14922, 19910203,   38.1,24,   29.2,24, 1016.0,24,  984.7,24,  13.0,24,  11.1,24,  15.0, 999.9,   48.0 ,  35.1*, 0.00G,  3.9, 000000,
726580,14922, 19910204,   38.0,24,   31.9,24, 1016.4,24,  985.2,24,  10.9,24,   8.6,24,  11.1, 999.9,   46.0*,  32.0 , 0.00G,  2.0, 100000,
726580,14922, 19910205,   35.2,24,   30.4,24, 1023.9,24,  992.4,24,  11.5,24,   3.4,24,   7.0, 999.9,   46.0 ,  23.0 , 0.00G,  0.4, 100000,
726580,14922, 19910206,   31.0,24,   27.4,24, 1025.9,24,  994.1,24,   5.0,24,   4.6,24,  11.1, 999.9,   46.0*,  19.9 , 0.00G,  0.4, 100000,
726580,14922, 19910207,   35.8,24,   28.0,24, 1029.3,24,  997.6,24,  16.4,24,   6.8,24,  11.1, 999.9,   46.9 ,  19.9 , 0.00G,  0.4, 000000,
726580,14922, 19910208,   38.4,24,   30.0,24, 1020.8,24,  989.4,24,  14.9,24,   9.0,24,  11.1, 999.9,   50.0*,  24.1 , 0.00G,  0.4, 000000,
726580,14922, 19910209,   36.3,24,   24.5,24, 1020.7,24,  989.3,24,  18.0,24,   7.3,24,  13.0, 999.9,   50.0 ,  27.0 , 0.00G,  0.4, 000000,
726580,14922, 19910210,   28.0,24,    9.8,24, 1024.2,24,  992.5,24,  15.3,24,  12.1,24,  20.0,  22.0,   44.1 ,  19.0 , 0.00G,  0.4, 000000,
726580,14922, 19910211,   17.3,24,   -2.4,24, 1026.4,24,  994.2,24,  19.9,24,   9.6,24,  14.0, 999.9,   30.0 ,   8.1 , 0.00G,  0.4, 000000,
726580,14922, 19910212,   23.6,24,    7.2,24, 1018.8,24,  986.8,24,  17.9,24,   6.1,24,  15.0,  20.0,   37.0*,   8.1 , 0.00G,  0.4, 000000,
726580,14922, 19910213,   28.6,24,   21.6,24, 1003.1,24,  971.9,24,   8.2,24,   6.1,24,  10.1, 999.9,   37.0 ,  12.9 , 0.00G,  0.4, 101000,
726580,14922, 19910214,   17.8,24,   11.9,24, 1004.9,24,  973.4,24,   5.0,24,  17.1,24,  25.1,  35.0,   32.0 ,   3.9*, 0.25G,  3.1, 001000,
